"","z","i","RF_sqrt","KNN_1","KNN_3","KNN_5","KNN_7","KNN_9","KNN_11","KNN_13","KNN_15","KNN_17","KNN_19","KNN_21","KNN_23","KNN_25","KNN_27","KNN_29","Pruned_Tree","ENET.1se.matrix","ENET.min.matrix","LASSO.1se.matrix","LASSO.min.matrix","RIDGE.1se.matrix","RIDGE.min.matrix","LASSO.1se.cv","LASSO.min.cv","RIDGE.1se.cv","RIDGE.min.cv","ENET.1se.cv","ENET.min.cv","GLM_Full","GLM_step"
"ENET.1se.accuracy83",4,9,0.862068965517241,0.862068965517241,0.862068965517241,0.896551724137931,0.896551724137931,0.862068965517241,0.862068965517241,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.896551724137931,0.896551724137931,0.896551724137931,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.896551724137931,0.896551724137931,0.896551724137931,0.862068965517241,0.896551724137931,0.827586206896552,0.896551724137931,0.827586206896552,0.827586206896552,0.862068965517241
"ENET.1se.accuracy93",4,10,0.966666666666667,0.766666666666667,0.833333333333333,0.933333333333333,0.866666666666667,0.866666666666667,0.9,0.9,0.9,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,1,1,1,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.933333333333333,0.933333333333333,0.9,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667
"ENET.1se.accuracy16",5,1,0.793103448275862,0.689655172413793,0.724137931034483,0.793103448275862,0.758620689655172,0.758620689655172,0.793103448275862,0.793103448275862,0.793103448275862,0.758620689655172,0.793103448275862,0.793103448275862,0.724137931034483,0.689655172413793,0.758620689655172,0.758620689655172,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.862068965517241,0.862068965517241,0.758620689655172,0.793103448275862,0.758620689655172,0.793103448275862,0.758620689655172,0.793103448275862,0.793103448275862,0.793103448275862
"ENET.1se.accuracy17",5,2,0.793103448275862,0.655172413793103,0.689655172413793,0.793103448275862,0.827586206896552,0.862068965517241,0.827586206896552,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.758620689655172,0.862068965517241,0.862068965517241,0.862068965517241,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.827586206896552,0.827586206896552,0.827586206896552,0.862068965517241,0.896551724137931,0.862068965517241,0.896551724137931,0.862068965517241,0.862068965517241,0.862068965517241
"ENET.1se.accuracy24",5,3,0.766666666666667,0.766666666666667,0.7,0.733333333333333,0.7,0.7,0.7,0.633333333333333,0.633333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.766666666666667,0.733333333333333,0.766666666666667,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.733333333333333,0.733333333333333,0.766666666666667,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.7,0.733333333333333
"ENET.1se.accuracy34",5,4,0.933333333333333,0.8,0.9,0.9,0.9,0.866666666666667,0.866666666666667,0.9,0.9,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.933333333333333,0.933333333333333,0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.966666666666667,0.966666666666667
"ENET.1se.accuracy44",5,5,0.827586206896552,0.758620689655172,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.827586206896552,0.827586206896552,0.827586206896552,0.862068965517241,0.827586206896552,0.862068965517241,0.827586206896552,0.862068965517241,0.862068965517241,0.862068965517241
"ENET.1se.accuracy54",5,6,0.866666666666667,0.6,0.833333333333333,0.8,0.8,0.8,0.833333333333333,0.833333333333333,0.833333333333333,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.9,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.9,0.9,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.9,0.9
"ENET.1se.accuracy64",5,7,0.758620689655172,0.620689655172414,0.793103448275862,0.827586206896552,0.827586206896552,0.827586206896552,0.827586206896552,0.827586206896552,0.827586206896552,0.862068965517241,0.827586206896552,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.793103448275862,0.793103448275862,0.827586206896552,0.862068965517241,0.827586206896552,0.827586206896552,0.827586206896552,0.827586206896552,0.827586206896552,0.827586206896552
"ENET.1se.accuracy74",5,8,0.8,0.766666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.8,0.8,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.833333333333333,0.833333333333333,0.766666666666667,0.866666666666667,0.833333333333333,0.866666666666667,0.833333333333333,0.866666666666667,0.8,0.866666666666667
